Test case...
f(1.40000000000) = 1.15541687289
Program...
f(0.00000000000) = 1.00000000000
f(1.00000000000) = 1.38177329068
f(2.00000000000) = 0.49315059028
f(3.00000000000) = -0.84887248854
f(4.00000000000) = -1.41044611617
f(5.00000000000) = -0.67526208920
f(6.00000000000) = 0.68075478845
f(7.00000000000) = 1.41088885306
f(8.00000000000) = 0.84385821281
f(9.00000000000) = -0.49901177664
f(10.00000000000) = -1.38309263997
f(11.00000000000) = -0.99556450856
f(12.00000000000) = 0.30728104073
f(13.00000000000) = 1.32761381828
f(14.00000000000) = 1.12734457390
f(15.00000000000) = -0.10940007270
f(16.00000000000) = -1.24556279699
f(17.00000000000) = -1.23656082993
f(18.00000000000) = -0.09067053853
f(19.00000000000) = 1.13858182785
f(20.00000000000) = 1.32102731254
f(21.00000000000) = 0.28892637831
f(22.00000000000) = -1.00881213569
f(23.00000000000) = -1.37905342451
f(24.00000000000) = -0.48139935467
f(25.00000000000) = 0.85885106177
f(26.00000000000) = 1.40947777281
f(27.00000000000) = 0.66423711967
f(28.00000000000) = -0.69170007801
f(29.00000000000) = -1.41169141390
f(30.00000000000) = -0.83378017421
f(31.00000000000) = 0.51070471248
f(32.00000000000) = 1.38565004175
f(33.00000000000) = 0.98663511288
f(34.00000000000) = -0.31948758866
f(35.00000000000) = -1.33187487459
f(36.00000000000) = -1.11974254307
f(37.00000000000) = 0.12187591859
f(38.00000000000) = 1.25144222276
f(39.00000000000) = 1.23043831864
f(40.00000000000) = 0.07817509883
f(41.00000000000) = -1.14596194633
f(42.00000000000) = -1.31650686290
f(43.00000000000) = -0.27666144111
f(44.00000000000) = 1.01754523375
f(45.00000000000) = 1.37622551335
f(46.00000000000) = 0.46961040276
f(47.00000000000) = -0.86876234641
f(48.00000000000) = -1.40839900079
f(49.00000000000) = -0.65316010902
f(50.00000000000) = 0.70259117479
f(51.00000000000) = 1.41238337266
f(52.00000000000) = 0.82363681124
f(53.00000000000) = -0.52235763603
f(54.00000000000) = -1.38809888171
f(55.00000000000) = -0.97762841710
f(56.00000000000) = 0.33166910564
f(57.00000000000) = 1.33603158222
f(58.00000000000) = 1.11205278353
f(59.00000000000) = -0.13434221584
f(60.00000000000) = -1.25722360152
f(61.00000000000) = -1.22421940595
f(62.00000000000) = -0.06567353433
f(63.00000000000) = 1.15325228189
f(64.00000000000) = 1.31188326863
f(65.00000000000) = 0.26437482825
f(66.00000000000) = -1.02619860999
f(67.00000000000) = -1.37328977876
f(68.00000000000) = -0.45778465819
f(69.00000000000) = 0.87860556594
f(70.00000000000) = 1.40720988464
f(71.00000000000) = 0.64203192509
f(72.00000000000) = -0.71342722551
f(73.00000000000) = -1.41296467511
f(74.00000000000) = -0.81342891864
f(75.00000000000) = 0.53396963432
f(76.00000000000) = 1.39043896801
f(77.00000000000) = 0.96854512685
f(78.00000000000) = -0.34382463726
f(79.00000000000) = -1.34008361550
f(80.00000000000) = -1.10427589776
f(81.00000000000) = 0.14679798775
f(82.00000000000) = 1.26290648032
f(83.00000000000) = 1.21790457907
f(84.00000000000) = 0.05316682449
f(85.00000000000) = -1.16045226334
f(86.00000000000) = -1.30715689195
f(87.00000000000) = -0.25206750237
f(88.00000000000) = 1.03477158643
f(89.00000000000) = 1.37024645075
f(90.00000000000) = 0.44592304747
f(91.00000000000) = -0.88837994918
f(92.00000000000) = -1.40591051753
f(93.00000000000) = -0.63085343975
f(94.00000000000) = 0.72420738120
f(95.00000000000) = 1.41343527573
f(96.00000000000) = 0.80315729614
f(97.00000000000) = -0.54553979757
f(98.00000000000) = -1.39267011728
f(99.00000000000) = -0.95938595379
f(100.00000000000) = 0.35595323118
f(101.00000000000) = 1.34403065697
f(102.00000000000) = 1.09641249506
f(103.00000000000) = -0.15924225844
f(104.00000000000) = -1.26849041391
f(105.00000000000) = -1.21149433277
f(106.00000000000) = -0.04065594917
f(107.00000000000) = 1.16756132660
f(108.00000000000) = 1.30232810318
f(109.00000000000) = 0.23974042769
f(110.00000000000) = -1.04326349140
f(111.00000000000) = -1.36709576776
f(112.00000000000) = -0.43402649992
f(113.00000000000) = 0.89808473032
f(114.00000000000) = 1.40450100124
f(115.00000000000) = 0.61962552880
f(116.00000000000) = -0.73493079726
f(117.00000000000) = -1.41379513764
f(118.00000000000) = -0.79282274852
f(119.00000000000) = 0.55706721930
f(120.00000000000) = 1.39479215474
f(121.00000000000) = 0.95015161552
f(122.00000000000) = -0.36805393716
f(123.00000000000) = -1.34787239738
f(124.00000000000) = -1.08846319149
f(125.00000000000) = 0.17167405296
f(126.00000000000) = 1.27397496483
f(127.00000000000) = 1.20498916927
f(128.00000000000) = 0.02814188858
f(129.00000000000) = -1.17457891469
f(130.00000000000) = -1.29739728064
f(131.00000000000) = -0.22739457003
f(132.00000000000) = 1.05167365959
f(133.00000000000) = 1.36383797662
f(134.00000000000) = 0.42209594761
f(135.00000000000) = -0.90771914904
f(136.00000000000) = -1.40298144622
f(137.00000000000) = -0.60834907193
f(138.00000000000) = 0.74559663355
f(139.00000000000) = 1.41404423264
f(140.00000000000) = 0.78242608544
f(141.00000000000) = -0.56855099637
f(142.00000000000) = -1.39680491412
f(143.00000000000) = -0.94084283552
f(144.00000000000) = 0.38012580713
f(145.00000000000) = 1.35160853575
f(146.00000000000) = 1.08042860986
f(147.00000000000) = -0.18409239728
f(148.00000000000) = -1.27935970335
f(149.00000000000) = -1.19838959823
f(150.00000000000) = -0.01562562315
f(151.00000000000) = 1.18150447779
f(152.00000000000) = 1.29236481064
f(153.00000000000) = 0.21503089663
f(154.00000000000) = -1.06000143207
f(155.00000000000) = -1.36047333258
f(156.00000000000) = -0.41013232525
f(157.00000000000) = 0.91728245049
f(158.00000000000) = 1.40135197151
f(159.00000000000) = 0.59702495260
f(160.00000000000) = -0.75620405442
f(161.00000000000) = -1.41418254121
f(162.00000000000) = -0.77196812146
f(163.00000000000) = 0.57999022905
f(164.00000000000) = 1.39870823773
f(165.00000000000) = 0.93146034311
f(166.00000000000) = -0.39216789532
f(167.00000000000) = -1.35523877937
f(168.00000000000) = -1.07230937967
f(169.00000000000) = 0.19649631848
f(170.00000000000) = 1.28464420762
f(171.00000000000) = 1.19169613671
f(172.00000000000) = 0.00310813350
f(173.00000000000) = -1.18833747332
f(174.00000000000) = -1.28723108746
f(175.00000000000) = -0.20265037616
f(176.00000000000) = 1.06824615641
f(177.00000000000) = 1.35700209925
f(178.00000000000) = 0.39813657018
f(179.00000000000) = -0.92677388542
f(180.00000000000) = -1.39961270479
f(181.00000000000) = -0.58565405803
f(182.00000000000) = 0.76675222881
f(183.00000000000) = 1.41421005253
f(184.00000000000) = 0.76144967593
f(185.00000000000) = -0.59138402112
f(186.00000000000) = -1.40050197646
f(187.00000000000) = -0.92200487338
f(188.00000000000) = 0.40417925824
f(189.00000000000) = 1.35876284380
f(190.00000000000) = 1.06410613703
f(191.00000000000) = -0.20888484475
f(192.00000000000) = -1.28982806359
f(193.00000000000) = -1.18490930911
f(194.00000000000) = 0.00940959967
f(195.00000000000) = 1.19507736591
f(196.00000000000) = 1.28199651332
f(197.00000000000) = 0.19025397860
f(198.00000000000) = -1.07640718663
f(199.00000000000) = -1.35342454859
f(200.00000000000) = -0.38610962221
f(201.00000000000) = 0.93619271019
f(202.00000000000) = 1.39776378232
f(203.00000000000) = 0.57423727910
f(204.00000000000) = -0.77724033030
f(205.00000000000) = -1.41412676444
f(206.00000000000) = -0.75087157294
f(207.00000000000) = 0.60273147990
f(208.00000000000) = 1.40218598976
f(209.00000000000) = 0.91247716714
f(210.00000000000) = -0.41615895484
f(211.00000000000) = -1.36218045296
f(212.00000000000) = -1.05581952464
f(213.00000000000) = 0.22125700547
f(214.00000000000) = 1.29491086513
f(215.00000000000) = 1.17802964718
f(216.00000000000) = -0.02192659562
f(217.00000000000) = -1.20172362753
f(218.00000000000) = -1.27666149832
f(219.00000000000) = -0.17784267518
f(220.00000000000) = 1.08448388336
f(221.00000000000) = 1.34974096089
f(222.00000000000) = 0.37405242363
f(223.00000000000) = -0.94553818689
f(224.00000000000) = -1.39580534895
f(225.00000000000) = -0.56277551027
f(226.00000000000) = 0.78766753717
f(227.00000000000) = 1.41393268346
f(228.00000000000) = 0.74023464126
f(229.00000000000) = -0.61403171635
f(230.00000000000) = -1.40376014570
f(231.00000000000) = -0.90287797086
f(232.00000000000) = 0.42810604655
f(233.00000000000) = 1.36549133908
f(234.00000000000) = 1.04745019174
f(235.00000000000) = -0.23361183132
f(236.00000000000) = -1.29989221402
f(237.00000000000) = -1.17105768991
f(238.00000000000) = 0.03444187369
f(239.00000000000) = 1.20827573746
f(240.00000000000) = 1.27122646046
f(241.00000000000) = 0.16541743827
f(242.00000000000) = -1.09247561380
f(243.00000000000) = -1.34595162475
f(244.00000000000) = -0.36196591908
f(245.00000000000) = 0.95480958330
f(246.00000000000) = 1.39373755813
f(247.00000000000) = 0.55126964956
f(248.00000000000) = -0.79803303250
f(249.00000000000) = -1.41362782480
f(250.00000000000) = -0.72953971426
f(251.00000000000) = 0.62528384513
f(252.00000000000) = 1.40522432095
f(253.00000000000) = 0.89320803661
f(254.00000000000) = -0.44001959734
f(255.00000000000) = -1.36869524276
f(256.00000000000) = -1.03899879404
f(257.00000000000) = 0.24594835433
f(258.00000000000) = 1.30477171998
f(259.00000000000) = 1.16399398354
f(260.00000000000) = -0.04695445333
f(261.00000000000) = -1.21473318235
f(262.00000000000) = -1.26569182555
f(263.00000000000) = -0.15297924137
f(264.00000000000) = 1.10038175182
f(265.00000000000) = 1.34205683706
f(266.00000000000) = 0.34985105552
f(267.00000000000) = -0.96400617304
f(268.00000000000) = -1.39156057185
f(269.00000000000) = -0.53972059841
f(270.00000000000) = 0.80833600416
f(271.00000000000) = 1.41321221234
f(272.00000000000) = 0.71878762985
f(273.00000000000) = -0.63648698466
f(274.00000000000) = -1.40657840079
f(275.00000000000) = -0.88346812200
f(276.00000000000) = 0.45189867383
f(277.00000000000) = 1.37179191298
f(278.00000000000) = 1.03046599368
f(279.00000000000) = -0.25826560798
f(280.00000000000) = -1.30954900071
f(281.00000000000) = -1.15683908148
f(282.00000000000) = 0.05946335422
f(283.00000000000) = 1.22109545628
f(284.00000000000) = 1.26005802721
f(285.00000000000) = 0.14052905898
f(286.00000000000) = -1.10820167800
f(287.00000000000) = -1.33805690295
f(288.00000000000) = -0.33770878210
f(289.00000000000) = 0.97312723559
f(290.00000000000) = 1.38927456069
f(291.00000000000) = 0.52812926165
f(292.00000000000) = -0.81857564495
f(293.00000000000) = -1.41268587864
f(294.00000000000) = -0.70797923045
f(295.00000000000) = 0.64764025721
f(296.00000000000) = 1.40782227913
f(297.00000000000) = 0.87365899013
f(298.00000000000) = -0.46374234532
f(299.00000000000) = -1.37478110714
f(300.00000000000) = -1.02185245918
f(301.00000000000) = 0.27056262723
f(302.00000000000) = 1.31422368193
f(303.00000000000) = 1.14959354431
f(304.00000000000) = -0.07196759632
f(305.00000000000) = -1.22736206080
f(306.00000000000) = -1.25432550684
f(307.00000000000) = -0.12806786652
f(308.00000000000) = 1.11593477967
f(309.00000000000) = 1.33395213583
f(310.00000000000) = 0.32554005014
f(311.00000000000) = -0.98217205634
f(312.00000000000) = -1.38687970374
f(313.00000000000) = -0.51649654744
f(314.00000000000) = 0.82875115262
f(315.00000000000) = 1.41204886495
f(316.00000000000) = 0.69711536284
f(317.00000000000) = -0.65874278896
f(318.00000000000) = -1.40895585853
f(319.00000000000) = -0.86378140951
f(320.00000000000) = 0.47554968389
f(321.00000000000) = 1.37766259103
f(322.00000000000) = 1.01315886539
f(323.00000000000) = -0.28283844866
f(324.00000000000) = -1.31879539739
f(325.00000000000) = -1.14225793970
f(326.00000000000) = 0.08446619996
f(327.00000000000) = 1.23353250491
f(328.00000000000) = 1.24849471357
f(329.00000000000) = 0.11559664030
f(330.00000000000) = -1.12358045096
f(331.00000000000) = -1.32974285727
f(332.00000000000) = -0.31334581303
f(333.00000000000) = 0.99113992664
f(334.00000000000) = 1.38437618863
f(335.00000000000) = 0.50482336717
f(336.00000000000) = -0.83886172996
f(337.00000000000) = -1.41130122117
f(338.00000000000) = -0.68619687819
f(339.00000000000) = 0.66979371004
f(340.00000000000) = 1.40997905017
f(341.00000000000) = 0.85383615403
f(342.00000000000) = -0.48731976446
f(343.00000000000) = -1.38043613889
f(344.00000000000) = -1.00438589343
f(345.00000000000) = 0.29509211049
f(346.00000000000) = 1.32326378891
f(347.00000000000) = 1.13483284236
f(348.00000000000) = -0.09695818591
f(349.00000000000) = -1.23960630520
f(350.00000000000) = -1.24256610422
f(351.00000000000) = -0.10311635741
f(352.00000000000) = 1.13113809286
